millis,pdsi,system:index
1244959200000,-2.051900263939995,20090614
1245391200000,-1.9894844493229098,20090619
1245823200000,-1.9119861347802203,20090624
1246255200000,-1.8177439377018543,20090629
1246687200000,-1.81766211171395,20090704
1247119200000,-1.8359924931672176,20090709
1247551200000,-1.8491426493578438,20090714
1247983200000,-1.8603418876784845,20090719
1248415200000,-1.8733128819303073,20090724
1248847200000,-1.8702229266648138,20090729
1249279200000,-1.878635004609577,20090803
1249711200000,-1.8810224371648918,20090808
1250143200000,-1.8787495160521464,20090813
1250575200000,-1.8731563799365483,20090818
1251007200000,-1.852340379401926,20090823
1251439200000,-1.8325127092677373,20090828
1251871200000,-1.8200864785798192,20090902
1252303200000,-1.8138072343521576,20090907
1252735200000,-1.8094513744179448,20090912
1253167200000,-1.8048666049286735,20090917
1253599200000,-1.8253233946219125,20090922
1254031200000,-1.8654818013492869,20090927
1254463200000,-1.913630214113358,20091002
1254895200000,-1.9663655189235174,20091007
1255327200000,-2.026771487254645,20091012
1255759200000,-1.711221765944594,20091017
1256191200000,-1.363353584720685,20091022
1256623200000,-0.9913102194635395,20091027
1257055200000,-0.6555135823691474,20091101
1257487200000,-0.37829695622709586,20091106
1257919200000,-0.18919993659698553,20091111
1258351200000,-0.2910732766529002,20091116
1258783200000,-0.39378773478730833,20091121
1259215200000,-0.5041693085754303,20091126
1259647200000,-0.5984700076458662,20091201
1260079200000,-0.69419488406012,20091206
1260511200000,-0.7465824645622436,20091211
1260943200000,-0.7222026552043037,20091216
1261375200000,-0.7079262779436869,20091221
1261807200000,-0.6937429151175937,20091226
1262239200000,-0.6739805226413786,20091231
1262671200000,-0.6763870301946265,20100105
1263103200000,-0.7152625106123837,20100110
1263535200000,-0.7699593002523629,20100115
1263967200000,-0.778349735463147,20100120
1264399200000,-0.7532093594125049,20100125
1264831200000,-0.72807148045102,20100130
1265263200000,-0.6852514871592853,20100204
1265695200000,-0.6045027597091882,20100209
1266127200000,-0.544943022106354,20100214
1266559200000,-0.5740557200672287,20100219
1266991200000,-0.6030918578294923,20100224
1267423200000,-0.5882073383639298,20100301
1267855200000,-0.5613562019649615,20100306
