imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt0160447,The Last Great Ride,The Last Great Ride,2000,2000-04-01,Comedy,89,USA,English,Ralph E. Portillo,"Paul Chilsen, Heath McLaughlin",Mosquito Productions,"Ernest Borgnine, Eileen Brennan, Jeffrey Sharmat, Stephanie Sawyer, Jason Hervey, Bonnie Cahoon, Shamus, Joey Dedio, Cris Borgnine, Lindsey Brooke, B.T. Adams, Nick Sturino, Carmen Pellizzi, Tom Uhlenhake, Dave Paquitte","A kid, his new friend who's a girl, his grandmother and their old neighbor who used to work as a driver for a gangster, search for the treasure supposedly hidden nearby by the gangster long time ago, to help the neighbor keep his house.",5.0,168,,,,,5.0,
tt5259496,Indivisibili,Indivisibili,2016,2016-09-29,Drama,100,Italy,"Italian, English",Edoardo De Angelis,"Nicola Guaglianone, Nicola Guaglianone",Tramp Ltd.,"Angela Fontana, Marianna Fontana, Antonia Truppo, Toni Laudadio, Peppe Servillo, Gaetano Bruno, Massimiliano Rossi, Marco Mario de Notaris, Gianfranco Gallo, Antonio Pennarella","Daisy and Violet are twin sisters on the verge of turning 18. They are blessed with beautiful voices and are sought after to sing at weddings, communions and baptisms. Their real draw is ...",6.8,1153,,,$ 310797,80.0,5.0,38.0
tt0843326,Bommarillu,Bommarillu,2006,2006-08-09,"Comedy, Drama, Romance",170,India,Telugu,Bhaskar,"Bhaskar, Rajasimha",Sri Venkateswara Creations,"Siddharth, Genelia D'Souza, Prakash Raj, Srinivasa Rao Kota, Jayasudha, Dharmavarapu Subramanyam, Suneel, Brahmanandam, Tanikella Bharani, Neha Bamb, Murali Mohan, Chitram Seenu, Ravi Varma, Surekha Vani, Satya Krishnan",A young man realizes that he has to push back against his domineering father if he wants to find true happiness and love.,8.2,8273,,$ 650000,,,18.0,10.0
tt6624144,A Good Woman Is Hard to Find,A Good Woman Is Hard to Find,2019,2019-10-25,"Crime, Drama, Thriller",97,"UK, Belgium",English,Abner Pastoll,Ronan Blaney,February Films,"Sarah Bolger, Edward Hogg, Andrew Simpson, Jane Brennan, Caolan Byrne, Packy Lee, Rudy Doherty, Macie McCauley, Susan Ateh, Siobhan Kelly, Sean Sloan, Nigel O'Neill, Daryl McCormack, Josh Bolt, James McCaffrey",A recently widowed young mother will go to any lengths to protect her children as she seeks the truth behind her husband's murder.,6.2,2340,,,,65.0,60.0,106.0
tt5483082,Dokhtar,Dokhtar,2016,2016-06-22,Drama,103,Iran,Persian,Reza Mirkarimi,Mehran Kashani,Dreamlab Films,"Farhad Aslani, Merila Zare'i, Mahoor Alvand, Shahrokh Foroutanian, Newsha Modabber, Ghorban Nadjafi",A young girl leaves her hometown in south of Iran for a half day trip without permission of her strict father to attend a close friend's goodbye party. In her way back home hazy weather changes all she had planned.,6.0,899,,,,,2.0,23.0
tt0050326,Don Chisciotte,Don Kikhot,1957,1962,Drama,110,Soviet Union,Russian,Grigoriy Kozintsev,"Miguel de Cervantes y Saavedra, Evgeniy Shvarts",Lenfilm Studio,"Nikolay Cherkasov, Yuriy Tolubeev, Serafima Birman, Svetlana Grigoreva, Vladimir Maksimov, Viktor Kolpakov, Lyudmila Kasyanova, Tamilla Agamirova, Georgiy Vitsin, Bruno Frejndlikh, Lidiya Vertinskaya, Galina Volchek, Olga Vikladt, Aleksandr Benyaminov, S. Tsomayev","Senor Quexana has read so many books on chivalry that he believes that he is the knight Don Quixote de la Mancha. So Don Quixote sets off on his horse, accompanied by his squire Sancho ...",7.4,754,,,,,3.0,8.0
tt0063808,Quattordici o guerra,Wild in the Streets,1968,1968-05-29,"Comedy, Drama, Music",97,USA,English,Barry Shear,Robert Thom,American International Pictures (AIP),"Shelley Winters, Christopher Jones, Diane Varsi, Hal Holbrook, Millie Perkins, Richard Pryor, Bert Freed, Kevin Coughlin, Larry Bishop, May Ishihara, Salli Sachse, Kellie Flanagan, Don Wyndham, Michael Margotta, Ed Begley",A young man gains significant political influence as the leader of a counterculture rock band with his rallying cry of voting rights for teenagers.,6.0,1807,$ 1000000,,,,55.0,28.0
tt0929626,Shiva Shankar,Shiva Shankar,2004,2004-08-25,"Drama, Family",125,India,Telugu,Rajendra,,Sree Lakshmi Prasanna Pictures,"Mohan Babu, Soundarya, Nataneya Singh, Abhinayasri, Ali, Ananth, Raghu Babu, Brahmanandam, Chitti Babu, Ganesh, Riaz Khan, Sriram L.B., Venu Madhav, Raza Murad, Ponnambalam",,4.5,382,,,,,,
tt3813456,We Are Moluccans,We Are Moluccans,2014,2014-06-19,"Biography, Drama, History",151,Indonesia,Indonesian,"Angga Dwimas Sasongko, Angga Dwimas Sasongko","Swastika Nohara, Swastika Nohara",,"Abdurrahman Arif, Aufa Assagaf, Glenn Fredly, Ridho Hafiedz, Chicco Jerikho, Bebeto Leutually, Frans Nendissa, Jajang C. Noer, Burhanuddin Ohorella, Shafira Umm","Five years conflict, thousands casualties, a football team united them",8.2,152,,,,,2.0,1.0
tt0120257,Lo straniero che venne dal mare,Swept from the Sea,1997,1998-05-15,"Drama, Mystery, Romance",115,"UK, USA",English,Beeban Kidron,"Joseph Conrad, Tim Willocks",TriStar Pictures,"Rachel Weisz, Vincent Perez, Ian McKellen, Kathy Bates, Joss Ackland, Tony Haygarth, Fiona Victory, Tom Bell, Zoë Wanamaker, William Scott-Masson, Eve Matheson, Dave Hill, Roger Ashton-Griffiths, Matthew Scurfield, Margery Withers","The of story of Russian emigrant Yanko Goorall and servant Amy Foster in the end of nineteenth century. When Yanko enters a farm, sick and hungry after a shipwreck, everyone is afraid of him, except for Amy.",6.8,3051,,$ 397020,$ 397020,,39.0,22.0
